"State_Abb","State","fitness_facilities_State_2007","fitness_facilities_State_2011","fitness_facilities_State_2007_1k","fitness_facilities_State_2011_1k"
"AK","Alaska",75,74,0.108991825613079,0.102391250805985
"AL","Alabama",348,337,0.0743992898716056,0.0701682789407713
"AR","Arkansas",222,232,0.0774122277844341,0.0789658469308324
"AZ","Arizona",529,464,0.0813924165346925,0.0715772683553657
"CA","California",3487,3202,0.0953243475852117,0.0849519122298704
"CO","Colorado",589,558,0.119346419293352,0.10905261808366
"CT","Connecticut",534,483,0.152443724285827,0.134889486970318
"DE","Delaware",117,129,0.133529480912703,0.142205956114581
"FL","Florida",1750,1627,0.0949854314059179,0.0853730244960237
"GA","Georgia",904,745,0.0932166530313251,0.0759026042234451
"HI","Hawaii",87,77,0.0675738127397608,0.056007739251242
"IA","Iowa",319,347,0.106546888814146,0.113313189491981
"ID","Idaho",145,147,0.0949259773775029,0.0927453572115824
"IL","Illinois",1302,1257,0.10137854577693,0.097674636538846
"IN","Indiana",625,591,0.0978349669685671,0.0906869838245724
"KS","Kansas",285,224,0.101881227936905,0.0780151279691896
"KY","Kentucky",353,325,0.0823240859053003,0.0743816708915456
"LA","Louisiana",388,423,0.0871613763679899,0.0924623308901128
"MA","Massachusetts",1048,1044,0.160156611159462,0.158481107351823
"MD","Maryland",730,641,0.129005921018334,0.109980819413725
"ME","Maine",181,151,0.137153318466217,0.113688724788961
"MI","Michigan",985,859,0.0984755189859801,0.0869768869301483
"MN","Minnesota",647,612,0.123695958774641,0.114502509981083
"MO","Missouri",628,578,0.105433962327505,0.0961620366919727
"MS","Mississippi",196,216,0.0666618597570515,0.072519432522011
"MT","Montana",152,130,0.157019116044358,0.130234552428925
"NC","North Carolina",1063,966,0.11495453618386,0.10003727061459
"ND","North Dakota",71,75,0.110691729768748,0.109660024680816
"NE","Nebraska",202,222,0.113359024304287,0.120479246907021
"NH","New Hampshire",219,195,0.165674134863285,0.147929667408591
"NJ","New Jersey",1315,1242,0.151788016665055,0.140797888711852
"NM","New Mexico",159,156,0.0800296764133417,0.0749198933448083
"NV","Nevada",212,193,0.0810468190652702,0.0708693279751715
"NY","New York",2162,2133,0.111055241044579,0.109580190737345
"OH","Ohio",1223,1128,0.106088858570627,0.0977050487264953
"OK","Oklahoma",289,250,0.0793079081510143,0.0659368251365947
"OR","Oregon",465,410,0.122918611225879,0.105892285850285
"PA","Pennsylvania",1515,1373,0.120559894473885,0.107746392771622
"RI","Rhode Island",142,156,0.134788543353501,0.14838742816051
"SC","South Carolina",414,380,0.0919329910642909,0.0812099426615063
"SD","South Dakota",96,97,0.119324029373599,0.117706733067826
"TN","Tennessee",522,449,0.0836477334348644,0.0701195139483955
"TX","Texas",1848,1784,0.0760359590837667,0.0694847971041977
"UT","Utah",225,211,0.0824978743047721,0.0748964760320628
"VA","Virginia",898,815,0.115195786656377,0.100659486372311
"VT","Vermont",103,85,0.165848427418771,0.135689325719832
"WA","Washington",734,778,0.111786755949865,0.113908590259674
"WI","Wisconsin",648,653,0.115146571990596,0.114325391774559
"WV","West Virginia",165,128,0.090915452486207,0.0689891579226502
"WY","Wyoming",73,70,0.136965482822089,0.123205164760507
