"Type","County","State","lat","lon"
"Burger King","Miami","FL",25.8092,-80.24
"Burger King","Miami","FL",25.8587,-80.2094
"Burger King","Homestead","FL",25.4849,-80.461
"Burger King","Miami","FL",25.8471,-80.2415
"Burger King","Miami","FL",25.6849,-80.3125
"Burger King","Miami","FL",25.7502,-80.2429
"Burger King","Perrine","FL",25.6003,-80.3537
"Burger King","Hialeah","FL",25.8306,-80.2661
"Burger King","Miami","FL",25.926,-80.1617
"Burger King","North Miami Beach","FL",25.9466,-80.2056
"Burger King","Miami","FL",25.7328,-80.3514
"Burger King","Fort Lauderdale","FL",26.1368,-80.1615
"Burger King","Miami","FL",25.8917,-80.2111
"Burger King","Hollywood","FL",25.9864,-80.2065
"Burger King","Hialeah","FL",25.8668,-80.3009
"Burger King","Carol City","FL",25.9377,-80.2449
"Burger King","Carol City","FL",25.9256,-80.2772
"Burger King","Miami","FL",25.7331,-80.3086
"Burger King","Miami","FL",25.8251,-80.208
"Burger King","Miami","FL",25.7915,-80.1891
"Burger King","Key West","FL",24.5603,-81.7811
"Burger King","Pensacola","FL",30.4342,-87.2758
"Burger King","Miami","FL",25.8099,-80.2083
"Burger King","Hollywood","FL",26.0323,-80.1431
"Burger King","Miami Beach","FL",25.8134,-80.1344
"Burger King","Fort Lauderdale","FL",26.1376,-80.1247
"Burger King","Hialeah","FL",25.8675,-80.2662
"Burger King","Miami","FL",25.795,-80.2175
"Burger King","Fort Lauderdale","FL",26.1667,-80.1467
"Burger King","Fort Lauderdale","FL",26.122,-80.1501
"Burger King","Miami","FL",25.6474,-80.3322
"Burger King","Ocala","FL",29.187,-82.1061
"Burger King","Lake Worth","FL",26.6183,-80.0574
"Burger King","Hollywood","FL",26.0114,-80.153
"Burger King","Merritt Island","FL",28.3573,-80.6927
"Burger King","Fort Myers","FL",26.6041,-81.872
"Burger King","Miami","FL",25.7718,-80.2632
"Burger King","Hollywood","FL",26.0187,-80.2078
"Burger King","West Palm Beach","FL",26.7237,-80.0531
"Burger King","Pompano Beach","FL",26.2322,-80.1026
