"Type","County","State","lat","lon"
"McDonald's","Pensacola","FL",30.403,-87.3427
"McDonald's","Pontoon Beach","IL",38.7502,-90.0713
"McDonald's","Bethalto","IL",38.9016,-90.0578
"McDonald's","Mobile","AL",30.6885,-88.1236
"McDonald's","Edgewood","NM",35.0649,-106.191
"McDonald's","Kennett Square","PA",39.8593,-75.7054
"McDonald's","Tilton","NH",43.4547,-71.5676
"McDonald's","Lakeside","AZ",34.1424,-109.955
"McDonald's","Eugene","OR",44.0692,-123.109
"McDonald's","Durham","NC",36.1087,-78.9512
"McDonald's","Oelwein","IA",42.6784,-91.9118
"McDonald's","Savannah","GA",31.9951,-81.2111
"McDonald's","Manchester","NH",42.9293,-71.4383
"McDonald's","Circle Pines","MN",45.1406,-93.1633
"McDonald's","Northlake","IL",41.9068,-87.9025
"McDonald's","Broomfield","CO",39.9629,-105.15
"McDonald's","Paramus","NJ",40.9165,-74.0786
"McDonald's","Lemoyne","PA",40.2493,-76.9142
"McDonald's","Oak Brook","IL",41.848,-87.9455
"McDonald's","McKees Rocks","PA",40.4645,-80.0592
"McDonald's","North Wales","PA",40.2364,-75.241
"McDonald's","Lawton","OK",34.6091,-98.4745
"McDonald's","Bel Air","MD",39.5579,-76.3703
"McDonald's","Pompano Beach","FL",26.231,-80.157
"McDonald's","Topsham","ME",43.9398,-69.9759
"McDonald's","Salem","MA",42.5144,-70.9016
"McDonald's","Moorestown","NJ",39.9579,-74.9792
"McDonald's","Bronx","NY",40.8446,-73.9149
"McDonald's","Dry Ridge","KY",38.6826,-84.5999
"McDonald's","Chicago","IL",41.8968,-87.6277
"McDonald's","Canton","IL",40.5662,-90.0348
"McDonald's","Newport","NH",43.3596,-72.1941
"McDonald's","Tonawanda","NY",43.0206,-78.8785
"McDonald's","Crisfield","MD",37.9891,-75.842
"McDonald's","Blairsville","PA",40.4435,-79.2294
"McDonald's","Rising Sun","MD",39.698,-76.0582
"McDonald's","Greenbrook","NJ",40.5968,-74.4785
"McDonald's","Williamstown","NJ",39.689,-74.9922
"McDonald's","Plainsboro","NJ",40.3317,-74.5849
"McDonald's","Columbia","NJ",40.9335,-75.1
"McDonald's","Willowbrook","IL",41.7498,-87.9336
