"Type","County","State","lat","lon"
"Pizza Hut","Saraland","AL",30.7939,-88.0717
"Pizza Hut","Ash Flat","AR",36.2361,-91.5996
"Pizza Hut","Charleston","MO",36.9219,-89.3151
"Pizza Hut","Union","MO",38.4414,-91.009
"Pizza Hut","Wenona","IL",41.0501,-89.0618
"Pizza Hut","Parlin","NJ",40.4644,-74.3137
"Pizza Hut","Lagrange","IN",41.6529,-85.4206
"Pizza Hut","Sumter","SC",33.9214,-80.3744
"Pizza Hut","Delhi","LA",32.4451,-91.5249
"Pizza Hut","Cincinnati","OH",39.1288,-84.5083
"Pizza Hut","Essex Junction","VT",44.5076,-73.1338
"Pizza Hut","Goshen","NY",41.3983,-74.3385
"Pizza Hut","New York","NY",40.751,-73.9921
"Pizza Hut","Circle Pines","MN",45.1475,-93.1494
"Pizza Hut","Pottsville","PA",40.6762,-76.262
"Pizza Hut","Marlborough","MA",42.353,-71.5288
"Pizza Hut","Carmel","IN",39.9616,-86.1267
"Pizza Hut","Glens Falls","NY",43.3086,-73.6452
"Pizza Hut","Warwick","RI",41.6962,-71.5012
"Pizza Hut","Mechanicsburg","PA",40.2485,-77.0285
"Pizza Hut","Cranberry Township","PA",40.6788,-80.0999
"Pizza Hut","Reisterstown","MD",39.4457,-76.8134
"Pizza Hut","Excelsior","MN",44.9041,-93.565
"Pizza Hut","Minot","ND",48.2054,-101.294
"Pizza Hut","Pflugerville","TX",30.4442,-97.6312
"Pizza Hut","Windsor","CO",40.4799,-104.916
"Pizza Hut","Marietta","OK",33.9403,-97.1349
"Pizza Hut","Edenton","NC",36.0704,-76.6103
"Pizza Hut","American Fork","UT",40.3781,-111.796
"Pizza Hut","Anchorage","AK",61.194,-149.883
"Pizza Hut","Gordon","NE",42.7997,-102.203
"Pizza Hut","Lafayette","IN",40.4176,-86.8524
"Pizza Hut","Louisa","VA",38.0195,-77.9933
"Pizza Hut","Laurie","MO",38.2119,-92.8448
"Pizza Hut","Algona","IA",43.0688,-94.2269
"Pizza Hut","Exeter","NH",42.9869,-70.9352
"Pizza Hut","Hagerstown","MD",39.6291,-77.7647
"Pizza Hut","Sullivan","MO",38.219,-91.1626
"Pizza Hut","Mineral Wells","TX",32.8092,-98.1044
"Pizza Hut","Southlake","TX",32.9412,-97.1512
"Pizza Hut","Trotwood","OH",39.7977,-84.2823
"Pizza Hut","Lebanon","OH",39.4491,-84.1858
"Pizza Hut","Whitesboro","TX",33.6713,-96.9053
"Pizza Hut","Mount Pleasant","SC",32.8107,-79.8684
"Pizza Hut","Chandler","AZ",33.3208,-111.841
"Pizza Hut","Marble Falls","TX",30.5782,-98.2728
"Pizza Hut","Inglewood","CA",33.9762,-118.357
"Pizza Hut","Rockmart","GA",34.0108,-85.047
"Pizza Hut","Pelham","AL",33.3341,-86.7804
"Pizza Hut","Red Oak","IA",41.0265,-95.222
"Pizza Hut","Redondo Beach","CA",33.8386,-118.376
"Pizza Hut","Wathena","KS",39.7651,-94.9547
"Pizza Hut","Kissimmee","FL",28.5266,-81.3557
"Pizza Hut","Geneva","AL",31.0489,-85.8866
"Pizza Hut","Chickasha","OK",35.0523,-97.9457
"Pizza Hut","Orlando","FL",28.5972,-81.2445
"Pizza Hut","Elyria","OH",41.3638,-82.0756
"Pizza Hut","Carrollton","TX",33.021,-96.9151
"Pizza Hut","Helena","MT",46.6007,-112.049
"Pizza Hut","Bluefield","VA",37.2427,-81.2371
"Pizza Hut","Crockett","TX",31.3225,-95.4372
"Pizza Hut","Portales","NM",34.1913,-103.331
"Pizza Hut","Orlando","FL",28.5594,-81.3109
"Pizza Hut","Adrian","MI",41.8841,-84.0434
"Pizza Hut","Los Angeles","CA",33.9453,-118.293
"Pizza Hut","Litchfield","IL",39.1783,-89.6624
"Pizza Hut","Pharr","TX",26.1968,-98.1942
"Pizza Hut","Houghton","MI",47.1211,-88.578
"Pizza Hut","Willcox","AZ",32.2642,-109.84
"Pizza Hut","Carnegie","PA",40.3987,-80.0826
"Pizza Hut","Raytown","MO",39.001,-94.464
"Pizza Hut","Lawrenceville","IL",38.7256,-87.6873
"Pizza Hut","Tahlequah","OK",35.9153,-94.9613
"Pizza Hut","Osceola","IA",41.0295,-93.7792
"Pizza Hut","Hamilton","MT",46.2569,-114.157
"Pizza Hut","Pikesville","MD",39.3729,-76.7214
"Pizza Hut","Hearne","TX",30.8754,-96.5909
"Pizza Hut","Decorah","IA",43.2906,-91.7993
"Pizza Hut","Emmaus","PA",40.5295,-75.5041
"Pizza Hut","Charles City","IA",43.0673,-92.6744
"Pizza Hut","California","MO",38.6295,-92.5642
"Pizza Hut","Parker","AZ",34.1502,-114.289
"Pizza Hut","Richmond","MO",39.2783,-93.9587
"Pizza Hut","Keller","TX",32.9339,-97.231
"Pizza Hut","Edmonton","KY",36.98,-85.617
"Pizza Hut","Soddy Daisy","TN",35.2484,-85.1854
"Pizza Hut","Pine City","MN",45.8215,-92.9812
"Pizza Hut","Sun City","AZ",33.6382,-112.278
"Pizza Hut","Seguin","TX",29.581,-97.9522
