"Type","County","State","lat","lon"
"Taco Bell","Atlanta","GA",33.7584,-84.395
"Taco Bell","Albany","NY",42.6871,-73.8506
"Taco Bell","Allendale","MI",42.9586,-85.8884
"Taco Bell","Geneseo","NY",42.7992,-77.8188
"Taco Bell","Tampa","FL",27.9372,-82.4601
"Taco Bell","Garden City","NY",40.7327,-73.5928
"Taco Bell","Paramus","NJ",40.9196,-74.0687
"Taco Bell","Houston","TX",29.765,-95.3588
"Taco Bell","Everett","MA",42.402,-71.07
"Taco Bell","New York","NY",40.7467,-73.986
"Taco Bell","Somers","NY",41.334,-73.6821
"Taco Bell","Somerdale","NJ",39.8438,-75.0182
"Taco Bell","Massapequa","NY",40.6793,-73.437
"Taco Bell","Thurmont","MD",39.6142,-77.4185
"Taco Bell","Clear Lake","IA",43.1454,-93.3612
"Taco Bell","St. Cloud","MN",45.5693,-94.1414
"Taco Bell","Houston","TX",29.8285,-95.3804
"Taco Bell","Salt Lake City","UT",40.6997,-111.891
"Taco Bell","Champaign","IL",40.1356,-88.2307
"Taco Bell","Miamisburg","OH",39.6407,-84.2697
"Taco Bell","Alfred","NY",42.2595,-77.7879
"Taco Bell","Knoxville","TN",35.9244,-84.0662
"Taco Bell","Kingsport","TN",36.5523,-82.623
"Taco Bell","Cambridge","MA",42.3671,-71.076
"Taco Bell","Monona","WI",43.0477,-89.3246
"Taco Bell","Bellingham","WA",48.8004,-122.484
"Taco Bell","Euless","TX",32.8372,-97.0823
"Taco Bell","Georgetown","KY",38.231,-84.54
"Taco Bell","Red Oak","TX",32.5279,-96.8217
"Taco Bell","White Plains","NY",41.0321,-73.771
"Taco Bell","Edison","NJ",40.5449,-74.331
"Taco Bell","Gibsonia","PA",40.6352,-79.9435
"Taco Bell","Middlebury","IN",41.6755,-85.7083
"Taco Bell","Bennington","VT",42.8979,-73.2072
"Taco Bell","Menlo Park","NJ",40.5505,-74.3352
"Taco Bell","State College","PA",40.7846,-77.8292
"Taco Bell","Painesville","OH",41.7252,-81.2474
"Taco Bell","Vallejo","CA",38.0836,-122.212
"Taco Bell","Azle","TX",32.888,-97.5393
"Taco Bell","Oak Ridge","TN",36.0177,-84.2496
"Taco Bell","Clarks Summit","PA",41.4861,-75.6937
"Taco Bell","Wilmington","CA",33.7911,-118.263
"Taco Bell","Morton","IL",40.6228,-89.4643
"Taco Bell","Chicago","IL",41.8845,-87.6311
"Taco Bell","Dayton","OH",39.7469,-84.1834
"Taco Bell","Atlanta","GA",33.8792,-84.4716
"Taco Bell","Idaho Falls","ID",43.4823,-112.015
"Taco Bell","Kingsport","TN",36.5045,-82.431
"Taco Bell","Sandusky","OH",41.4042,-82.6598
"Taco Bell","Rochester","NY",43.0999,-77.6145
"Taco Bell","Malden","MO",36.5867,-89.9733
"Taco Bell","Carpentersville","IL",42.1114,-88.2575
"Taco Bell","Cookeville","TN",36.1841,-85.5182
"Taco Bell","Aurora","IL",41.778,-88.2817
"Taco Bell","Georgetown","TX",30.6375,-97.6888
"Taco Bell","Kilgore","TX",32.3904,-94.8654
"Taco Bell","Berryville","AR",36.3768,-93.5837
"Taco Bell","Orlando","FL",28.5977,-81.2446
"Taco Bell","Houston","TX",29.9807,-95.5667
"Taco Bell","Collinsville","IL",38.6906,-89.9846
"Taco Bell","Socorro","NM",34.0621,-106.89
"Taco Bell","Thornton","CO",39.9163,-104.974
"Taco Bell","Fargo","ND",46.8775,-96.7942
"Taco Bell","Albuquerque","NM",35.0884,-106.515
"Taco Bell","Port Charlotte","FL",26.9993,-82.0568
"Taco Bell","Osceola","AR",35.6977,-89.982
"Taco Bell","Buena Park","CA",33.8167,-118.028
"Taco Bell","Humble","TX",30.0047,-95.2707
"Taco Bell","Aberdeen","MD",39.5228,-76.184
"Taco Bell","Pampa","TX",35.5421,-100.972
