"State","State_Abb","Type","Year","Count_1k"
"Alabama","AL","Breast",2000,0.617605106800317
"Alabama","AL","Breast",2001,0.642762977594854
"Alabama","AL","Breast",2002,0.636576615924066
"Alabama","AL","Breast",2003,0.601108142344883
"Alabama","AL","Breast",2004,0.606882079904285
"Alabama","AL","Breast",2005,0.637607676202531
"Alabama","AL","Breast",2006,0.672663725670328
"Alabama","AL","Breast",2007,0.674932058282951
"Alabama","AL","Breast",2008,0.716793105588615
"Alabama","AL","Breast",2009,0.710400531862134
"Alabama","AL","Breast",2010,0.707513563082433
"Alabama","AL","Breast",2011,0.712462652419063
"Alabama","AL","Prostate",2006,0.77494490529402
"Alabama","AL","Prostate",2007,0.801133836367022
"Alabama","AL","Prostate",2008,0.774120057071249
"Alabama","AL","Prostate",2009,0.788554900969753
"Alabama","AL","Prostate",2010,0.780718842853422
"Alabama","AL","Prostate",2011,0.764428090453681
"Alabama","AL","Prostate",2003,0.635545555645602
"Alabama","AL","Prostate",2000,0.573269514826337
"Alabama","AL","Prostate",2001,0.639463584703767
"Alabama","AL","Prostate",2002,0.631627526587436
"Alabama","AL","Prostate",2004,0.670395393057706
"Alabama","AL","Prostate",2005,0.688542053958684
"Alaska","AK","Breast",2005,0.499503211479887
"Alaska","AK","Breast",1999,0.415347779110993
"Alaska","AK","Breast",2000,0.490001791696302
"Alaska","AK","Breast",2001,0.462854878028917
"Alaska","AK","Breast",2002,0.443852038461747
"Alaska","AK","Breast",2003,0.507647285580102
"Alaska","AK","Breast",2004,0.460140186662178
"Alaska","AK","Prostate",1999,0.388200865443608
"Alaska","AK","Breast",2006,0.503575248529995
"Alaska","AK","Breast",2007,0.529364816514011
"Alaska","AK","Breast",2008,0.552439693131288
"Alaska","AK","Breast",2009,0.51171932263021
"Alaska","AK","Breast",2010,0.561941112914873
"Alaska","AK","Breast",2011,0.568727841331719
"Alaska","AK","Prostate",2006,0.484572408962825
"Alaska","AK","Prostate",2007,0.551082347447919
"Alaska","AK","Prostate",2008,0.519863396730426
"Alaska","AK","Prostate",2009,0.51171932263021
"Alaska","AK","Prostate",2010,0.51171932263021
"Alaska","AK","Prostate",2011,0.423491853211208
"Alaska","AK","Prostate",2003,0.431635927311424
"Alaska","AK","Prostate",2000,0.413990433427624
"Alaska","AK","Prostate",2001,0.461497532345548
"Alaska","AK","Prostate",2002,0.534794199247488
"Alaska","AK","Prostate",2004,0.506289939896733
"Alaska","AK","Prostate",2005,0.394987593860454
"Arizona","AZ","Breast",2005,0.487559652522386
"Arizona","AZ","Breast",1999,0.491422099495446
"Arizona","AZ","Breast",2000,0.505831997818015
"Arizona","AZ","Breast",2001,0.516379449167524
"Arizona","AZ","Breast",2002,0.516973671778764
"Arizona","AZ","Breast",2003,0.488302430786436
"Arizona","AZ","Breast",2004,0.510140111749504
"Arizona","AZ","Prostate",1999,0.462008080239068
"Arizona","AZ","Prostate",2000,0.453986074987328
"Arizona","AZ","Prostate",2001,0.484588539466186
"Arizona","AZ","Prostate",2002,0.453986074987328
"Arizona","AZ","Prostate",2003,0.465424860253697
"Arizona","AZ","Prostate",2004,0.490233654272966
"Arizona","AZ","Prostate",2005,0.533017682282243
"Arizona","AZ","Prostate",2006,0.635223971415515
"Arizona","AZ","Prostate",2007,0.607444064340047
"Arizona","AZ","Prostate",2008,0.506129109123635
"Arizona","AZ","Prostate",2009,0.509694444791074
"Arizona","AZ","Prostate",2010,0.470475752449237
"Arizona","AZ","Prostate",2011,0.417887051354501
"Arizona","AZ","Breast",2007,0.57119648505441
"Arizona","AZ","Breast",2008,0.602393172144508
"Arizona","AZ","Breast",2009,0.604770062589468
"Arizona","AZ","Breast",2006,0.508505999568594
"Arizona","AZ","Breast",2011,0.610118066090627
"Arizona","AZ","Breast",2010,0.593034166017478
"Arkansas","AR","Prostate",2003,0.757154622368289
"Arkansas","AR","Prostate",2004,0.704902188500487
"Arkansas","AR","Prostate",2001,0.662426016453112
"Arkansas","AR","Prostate",2011,0.759177297227688
"Arkansas","AR","Breast",2003,0.608825132679043
"Arkansas","AR","Breast",2004,0.59095817142102
"Arkansas","AR","Breast",2005,0.587924159131922
"Arkansas","AR","Breast",2006,0.625006531554233
"Arkansas","AR","Breast",2007,0.656020879398349
"Arkansas","AR","Breast",2008,0.609162245155609
"Arkansas","AR","Breast",2009,0.645907505101355
"Arkansas","AR","Breast",2010,0.647593067484187
"Arkansas","AR","Breast",2011,0.641187930429424
"Arkansas","AR","Prostate",2007,0.786483407829572
"Arkansas","AR","Prostate",2008,0.772998908766913
"Arkansas","AR","Prostate",2009,0.763896871899619
"Arkansas","AR","Prostate",2010,0.769290671524682
"Arkansas","AR","Breast",2001,0.632423006038696
"Arkansas","AR","Prostate",2005,0.771987571337214
"Arkansas","AR","Prostate",2006,0.78951742011867
"California","CA","Breast",2004,0.552052058501385
"California","CA","Breast",2005,0.571200309258424
"California","CA","Breast",2008,0.620037368726242
"California","CA","Breast",2009,0.620913600927775
"California","CA","Breast",2006,0.574937181882611
"California","CA","Breast",2007,0.600064428838348
"California","CA","Prostate",2008,0.578390567618066
"California","CA","Prostate",2009,0.574189807357773
"California","CA","Prostate",2010,0.572231170671993
"California","CA","Prostate",2011,0.570169447844855
"California","CA","Breast",2003,0.550170736421622
"California","CA","Prostate",1999,0.539810579215257
"California","CA","Prostate",2000,0.538161200953547
"California","CA","Prostate",2001,0.554835384318021
"California","CA","Prostate",2002,0.577617421557889
"California","CA","Prostate",2003,0.542361961213839
"California","CA","Prostate",2004,0.575864957154822
"California","CA","Breast",2010,0.611094645963533
"California","CA","Breast",2011,0.639082533341924
"California","CA","Prostate",2007,0.6154758069712
"California","CA","Breast",1999,0.567360350492881
"California","CA","Breast",2000,0.568391211906449
"California","CA","Breast",2001,0.576560788608981
"California","CA","Breast",2002,0.58122543650538
"California","CA","Prostate",2005,0.531718317118742
"California","CA","Prostate",2006,0.569293215643322
"Colorado","CO","Breast",2004,0.50281317717807
"Colorado","CO","Breast",2005,0.551171369858768
"Colorado","CO","Breast",2008,0.604757475261704
"Colorado","CO","Breast",2009,0.645460510027697
"Colorado","CO","Breast",2006,0.551358081027419
"Colorado","CO","Breast",2007,0.579551467493772
"Colorado","CO","Prostate",2008,0.67365389649405
"Colorado","CO","Prostate",2009,0.654796068460264
"Colorado","CO","Prostate",2010,0.583285690866799
"Colorado","CO","Prostate",2011,0.576377377626699
"Colorado","CO","Breast",2003,0.537914876884522
