"State_Abb","State","Year","Type","Count","Count_1k"
"AL","Alabama",2000,"Breast",2995,0.617605106800317
"AL","Alabama",2001,"Breast",3117,0.642762977594854
"AL","Alabama",2002,"Breast",3087,0.636576615924066
"AL","Alabama",2003,"Breast",2915,0.601108142344883
"AL","Alabama",2004,"Breast",2943,0.606882079904285
"AL","Alabama",2005,"Breast",3092,0.637607676202531
"AL","Alabama",2006,"Breast",3262,0.672663725670328
"AL","Alabama",2007,"Breast",3273,0.674932058282951
"AL","Alabama",2008,"Breast",3476,0.716793105588615
"AL","Alabama",2009,"Breast",3445,0.710400531862134
"AL","Alabama",2010,"Breast",3431,0.707513563082433
"AL","Alabama",2011,"Breast",3455,0.712462652419063
"AL","Alabama",2002,"Pancreas",470,0.0969196661756758
"AL","Alabama",2003,"Pancreas",470,0.0969196661756758
"AL","Alabama",2004,"Pancreas",525,0.108261329238787
"AL","Alabama",2005,"Pancreas",539,0.111148298018488
"AL","Alabama",2006,"Pancreas",565,0.116509811466504
"AL","Alabama",2007,"Pancreas",579,0.119396780246205
"AL","Alabama",2008,"Pancreas",685,0.141255258149655
"AL","Alabama",2000,"Prostate",2780,0.573269514826337
"AL","Alabama",2001,"Prostate",3101,0.639463584703767
"AL","Alabama",2002,"Prostate",3063,0.631627526587436
"AL","Alabama",2003,"Prostate",3082,0.635545555645602
"AL","Alabama",2000,"Pancreas",477,0.0983631505655262
"AL","Alabama",2001,"Pancreas",501,0.103312239902157
"AL","Alabama",2006,"Prostate",3758,0.77494490529402
"AL","Alabama",2007,"Prostate",3885,0.801133836367022
"AL","Alabama",2008,"Prostate",3754,0.774120057071249
"AL","Alabama",2009,"Prostate",3824,0.788554900969753
"AL","Alabama",2010,"Prostate",3786,0.780718842853422
"AL","Alabama",2011,"Prostate",3707,0.764428090453681
"AL","Alabama",2011,"Pancreas",751,0.154865253825388
"AL","Alabama",2004,"Prostate",3251,0.670395393057706
"AL","Alabama",2009,"Pancreas",620,0.127851474529615
"AL","Alabama",2010,"Pancreas",670,0.138162077314261
"AL","Alabama",2005,"Prostate",3339,0.688542053958684
