"State","State_Abb","Breast_1999","Breast_2000","Breast_2001","Breast_2002","Breast_2003","Breast_2004","Breast_2005","Breast_2006","Breast_2007","Breast_2008","Breast_2009","Breast_2010","Breast_2011","Prostate_1999","Prostate_2000","Prostate_2001","Prostate_2002","Prostate_2003","Prostate_2004","Prostate_2005","Prostate_2006","Prostate_2007","Prostate_2008","Prostate_2009","Prostate_2010","Prostate_2011"
"Alabama","AL",NA,2995,3117,3087,2915,2943,3092,3262,3273,3476,3445,3431,3455,NA,2780,3101,3063,3082,3251,3339,3758,3885,3754,3824,3786,3707
"Alaska","AK",306,361,341,327,374,339,368,371,390,407,377,414,419,286,305,340,394,318,373,291,357,406,383,377,377,312
"Arizona","AZ",3308,3405,3476,3480,3287,3434,3282,3423,3845,4055,4071,3992,4107,3110,3056,3262,3056,3133,3300,3588,4276,4089,3407,3431,3167,2813
"Arkansas","AR",NA,NA,1876,NA,1806,1753,1744,1854,1946,1807,1916,1921,1902,NA,NA,1965,NA,2246,2091,2290,2342,2333,2293,2266,2282,2252
"California","CA",22015,22055,22372,22553,21348,21421,22164,22309,23284,24059,24093,23712,24798,20946,20882,21529,22413,21045,22345,20632,22090,23882,22443,22280,22204,22124
"Colorado","CO",2873,2804,2850,2845,2881,2693,2952,2953,3104,3239,3457,3388,3377,2720,2719,2835,2870,2855,2907,3044,3262,3812,3608,3507,3124,3087
"Connecticut","CT",2989,2901,3064,2870,2755,2844,2888,2907,2948,2988,3069,3119,3104,2705,3085,3089,3015,2758,2515,2606,3054,3122,2917,3037,2722,2643
"Delaware","DE",598,608,604,581,586,572,660,604,701,680,692,736,711,604,588,704,767,693,644,680,875,928,845,806,769,783
"District of Columbia",NA,452,447,NA,NA,592,409,414,446,449,425,453,471,506,550,565,NA,NA,480,425,421,428,565,493,454,491,529
"Florida","FL",13572,13548,13746,13721,12916,12765,13164,13466,13747,14183,14330,14390,14400,15392,15481,15852,15512,14291,13380,14295,15165,16084,15464,14984,14084,13414
"Georgia","GA",4753,5059,5224,5290,5271,5388,5298,5553,6068,6194,6392,6236,6673,4545,4984,5392,5508,4981,5381,5538,6392,6839,6979,6873,6517,6572
"Hawaii","HI",879,787,920,908,865,881,871,840,918,963,1043,1078,1051,790,807,803,699,789,845,846,906,892,861,812,769,799
"Idaho","ID",823,859,846,905,819,764,810,942,966,945,986,1005,1006,848,1007,1026,999,993,1024,1085,1187,1301,1156,1176,1163,1199
"Illinois","IL",9126,8883,9071,8858,8233,8362,8556,8930,8960,9128,9326,9399,9668,8391,8456,8964,9275,8562,8422,8289,9002,9783,9751,9531,8347,8427
"Indiana","IN",4399,4245,4419,4364,3995,3998,4054,4221,4285,4359,4542,4470,4455,3413,3720,3954,3749,3854,3817,3822,4118,4187,3932,3740,3470,3558
"Iowa","IA",2345,2209,2317,2315,2160,2163,2183,2187,2217,2201,2331,2369,2383,2255,2339,2278,2307,2086,2137,2164,2288,2281,2159,2298,2170,2212
"Kansas","KS",2023,2001,2030,2008,1865,1856,1903,2044,1964,1962,1982,1962,2046,2050,2028,1942,2029,1985,2079,1995,2019,2250,2229,2135,1991,2224
"Kentucky","KY",2931,2854,2891,2838,2808,2801,2836,3055,3046,3097,3126,3112,3176,2802,2782,2871,2943,2708,2625,2634,3125,3153,2856,2805,2819,2820
"Louisiana","LA",2997,2995,2920,2913,2928,2976,2682,2788,2938,2934,3174,3175,3228,3005,3092,3317,3592,3384,3276,2995,3266,3703,3513,3887,3601,3767
"Maine","ME",998,1085,1130,1057,1075,1063,1116,1124,1136,1141,1098,1129,1148,1029,1181,1211,1118,1122,1216,1115,1285,1275,1203,966,1030,1006
"Maryland","MD",3933,3874,NA,4009,4165,3892,3762,3833,4168,4528,4418,4493,4431,4075,4184,NA,4542,4219,3589,3672,4174,4474,4510,4444,4171,3928
"Massachusetts","MA",5286,5298,5151,5124,4945,5086,5043,5147,5225,5559,5499,5222,5584,5204,5484,5514,5335,4921,4764,5007,5354,5439,5200,4953,4861,4891
"Michigan","MI",7265,7353,7349,7340,7077,7069,7026,7071,7183,7015,7359,7104,7409,8780,8819,8937,9166,8376,8162,7734,8378,9002,8258,8190,8325,8675
"Minnesota","MN",3519,3686,3672,3632,3423,3404,3518,3566,3833,3825,3952,3868,4175,3644,4090,4176,4218,3895,4086,4205,4586,4802,4472,4219,3928,4169
"Mississippi","MS",NA,NA,NA,NA,1678,1784,1752,1738,1921,1968,1995,2000,1961,NA,NA,NA,NA,2028,2019,2148,2395,2492,2360,2241,2331,2253
"Missouri","MO",4123,4147,4103,4167,4080,4051,4165,4163,4087,4485,4517,4326,4551,3833,3601,3933,3745,3632,3432,3765,4002,4344,3945,3925,3523,3685
"Montana","MT",709,701,709,645,693,648,695,692,727,714,781,796,792,791,823,874,940,901,907,884,923,971,830,933,858,836
"Nebraska","NE",1255,1275,1331,1336,1195,1234,1201,1293,1191,1335,1256,1252,1313,1398,1378,1266,1276,1263,1269,1332,1365,1456,1272,1134,1231,1199
"Nevada","NV",NA,1331,1429,1377,1283,1328,1376,1435,1501,1565,1643,1590,NA,NA,1479,1589,1710,1549,1560,1398,1686,1600,1765,1979,1685,NA
"New Hampshire","NH",908,978,983,1009,905,966,1017,1020,1039,1096,1081,1060,1165,842,920,1027,1063,925,1003,955,1083,1130,1116,1094,1142,1144
"New Jersey","NJ",6782,6769,6785,6546,6403,6699,6571,6597,6802,6932,7068,6957,6837,7280,7744,8229,8419,6898,6349,6596,7541,7863,7347,7326,6932,7303
"New Mexico","NM",1180,1131,1140,1122,1072,1177,1141,1168,1242,1246,1337,1296,1362,1260,1154,1268,1283,1357,1347,1284,1429,1470,1368,1370,1385,1113
"New York","NY",14288,14324,14055,14070,14169,13954,14027,14404,14592,14919,15328,14627,15453,13782,15259,14973,15454,14465,14176,14378,16054,16604,16103,15799,14896,15671
"North Carolina","NC",5535,5729,5894,5687,5512,5840,6040,6447,6632,6654,7090,7184,7522,5188,5704,6017,5970,5646,6167,6401,6841,7190,7203,7060,6852,7055
"North Dakota","ND",479,475,NA,466,454,461,462,483,478,450,503,482,474,631,639,NA,591,508,498,566,616,563,582,532,512,544
"Ohio","OH",8836,8500,8446,8335,8100,8265,8316,8222,8412,8564,8660,8240,8668,8046,7959,8286,8366,7741,7772,7853,8573,8846,8525,8242,7678,8070
"Oklahoma","OK",2561,2516,2551,2560,2626,2633,2540,2499,2626,2654,2604,2584,2552,2271,2356,2357,2569,2451,2358,2422,2729,3026,2554,2746,2626,2519
"Oregon","OR",2885,2784,2842,2820,2625,2720,2747,2854,2896,2906,3045,2912,3032,2871,2701,2779,2633,2472,2691,2651,2785,2855,3106,2744,2650,2740
"Pennsylvania","PA",10499,10155,10356,9936,9629,9863,9751,9980,9915,10421,10557,10372,10673,10866,11010,11188,11269,10131,9536,9738,11102,11512,10370,10027,10039,10235
"Rhode Island","RI",841,855,833,841,787,859,796,855,912,896,907,744,839,872,938,939,922,765,788,743,804,903,895,788,678,711
"South Carolina","SC",2859,2816,2863,2855,2900,2795,2984,3131,3294,3384,3410,3515,3436,3083,3125,3229,3573,3156,3419,3417,3619,3865,3710,3424,3437,3311
"South Dakota","SD",NA,NA,562,617,553,491,560,511,579,585,573,531,630,NA,NA,745,738,695,706,619,613,711,642,620,547,595
"Tennessee","TN",NA,NA,NA,NA,NA,3775,4212,4230,4326,4493,4639,4567,4647,NA,NA,NA,NA,NA,3323,3891,4204,4766,4876,4517,4539,4758
"Texas","TX",12142,12393,12625,12993,12459,12354,12690,12996,13669,13885,14851,14258,13956,12368,12592,13197,13178,12709,12585,12333,13416,15000,13861,13297,11688,11950
"Utah","UT",1010,1054,1102,1051,1027,1121,1097,1159,1164,1293,1229,1290,1396,1303,1245,1368,1452,1508,1563,1503,1622,1702,1685,1759,1745,1685
"Vermont","VT",516,471,498,488,477,489,458,528,521,498,516,531,513,438,524,484,511,478,485,517,529,534,528,492,454,454
"Virginia","VA",NA,NA,NA,NA,4862,5161,5057,5294,5601,5673,5744,5574,5875,NA,NA,NA,NA,5006,4761,5313,5588,6427,5978,5547,5040,5104
"Washington","WA",4563,4480,4635,4726,4465,4371,4579,4470,4462,4873,5217,4962,5225,4521,4371,4504,4611,4447,4585,4534,4966,4983,4933,4776,4887,4681
