"State","State_Abb","Breast_1999_1k","Breast_2000_1k","Breast_2001_1k","Breast_2002_1k","Breast_2003_1k","Breast_2004_1k","Breast_2005_1k","Breast_2006_1k","Breast_2007_1k","Breast_2008_1k","Breast_2009_1k","Breast_2010_1k","Breast_2011_1k","Prostate_1999_1k","Prostate_2000_1k","Prostate_2001_1k","Prostate_2002_1k","Prostate_2003_1k","Prostate_2004_1k","Prostate_2005_1k","Prostate_2006_1k","Prostate_2007_1k","Prostate_2008_1k","Prostate_2009_1k","Prostate_2010_1k","Prostate_2011_1k"
"Alabama","AL",NA,0.617605106800317,0.642762977594854,0.636576615924066,0.601108142344883,0.606882079904285,0.637607676202531,0.672663725670328,0.674932058282951,0.716793105588615,0.710400531862134,0.707513563082433,0.712462652419063,NA,0.573269514826337,0.639463584703767,0.631627526587436,0.635545555645602,0.670395393057706,0.688542053958684,0.77494490529402,0.801133836367022,0.774120057071249,0.788554900969753,0.780718842853422,0.764428090453681
"Alaska","AK",0.415347779110993,0.490001791696302,0.462854878028917,0.443852038461747,0.507647285580102,0.460140186662178,0.499503211479887,0.503575248529995,0.529364816514011,0.552439693131288,0.51171932263021,0.561941112914873,0.568727841331719,0.388200865443608,0.413990433427624,0.461497532345548,0.534794199247488,0.431635927311424,0.506289939896733,0.394987593860454,0.484572408962825,0.551082347447919,0.519863396730426,0.51171932263021,0.51171932263021,0.423491853211208
"Arizona","AZ",0.491422099495446,0.505831997818015,0.516379449167524,0.516973671778764,0.488302430786436,0.510140111749504,0.487559652522386,0.508505999568594,0.57119648505441,0.602393172144508,0.604770062589468,0.593034166017478,0.610118066090627,0.462008080239068,0.453986074987328,0.484588539466186,0.453986074987328,0.465424860253697,0.490233654272966,0.533017682282243,0.635223971415515,0.607444064340047,0.506129109123635,0.509694444791074,0.470475752449237,0.417887051354501
"Arkansas","AR",NA,NA,0.632423006038696,NA,0.608825132679043,0.59095817142102,0.587924159131922,0.625006531554233,0.656020879398349,0.609162245155609,0.645907505101355,0.647593067484187,0.641187930429424,NA,NA,0.662426016453112,NA,0.757154622368289,0.704902188500487,0.771987571337214,0.78951742011867,0.786483407829572,0.772998908766913,0.763896871899619,0.769290671524682,0.759177297227688
"California","CA",0.567360350492881,0.568391211906449,0.576560788608981,0.58122543650538,0.550170736421622,0.552052058501385,0.571200309258424,0.574937181882611,0.600064428838348,0.620037368726242,0.620913600927775,0.611094645963533,0.639082533341924,0.539810579215257,0.538161200953547,0.554835384318021,0.577617421557889,0.542361961213839,0.575864957154822,0.531718317118742,0.569293215643322,0.6154758069712,0.578390567618066,0.574189807357773,0.572231170671993,0.570169447844855
"Colorado","CO",0.536421187535312,0.523538116898369,0.532126830656331,0.531193274813074,0.537914876884522,0.50281317717807,0.551171369858768,0.551358081027419,0.579551467493772,0.604757475261704,0.645460510027697,0.632577439390754,0.630523616535589,0.507854378731656,0.507667667563005,0.529326163126561,0.535861054029358,0.533060386499588,0.542769367269457,0.568348797374692,0.609051832140685,0.711742974898924,0.67365389649405,0.654796068460264,0.583285690866799,0.576377377626699
"Connecticut","CT",0.831044878369673,0.806577849498301,0.851897459794138,0.797958782509522,0.765984824325343,0.790729887615708,0.802963402051394,0.808246056012258,0.819645467190965,0.83076684395068,0.853287631889102,0.867189352838745,0.863018836553852,0.752083103375699,0.857736182592988,0.858848320268959,0.838273773263487,0.766818927582321,0.699256563767055,0.724557695895406,0.849117115604209,0.868023456095724,0.811026400202187,0.84439053048133,0.756809688498578,0.734844969398142
"Delaware","DE",0.639152470997655,0.649840639408987,0.645565372044454,0.620982584698391,0.626326668904057,0.611363233128192,0.705419115147914,0.645565372044454,0.749240605634375,0.726795451970578,0.739621254064176,0.786649195074037,0.759928774045707,0.645565372044454,0.628464302586323,0.752447056157774,0.819782517149166,0.740690070905309,0.688318045689782,0.726795451970578,0.935214735991552,0.991862028571612,0.903150230757556,0.861466373953361,0.821920150831433,0.836883586607297
"District of Columbia",NA,0.68599909241713,0.678410606881542,NA,NA,0.898476687413586,0.620738116811076,0.628326602346663,0.676892909774425,0.681446001095777,0.645021270524956,0.687516789524248,0.714835337452363,0.767954736201477,0.834733408914649,0.857498865521412,NA,NA,0.728494611416421,0.645021270524956,0.638950482096486,0.649574361846309,0.857498865521412,0.748224673808949,0.689034486631365,0.745189279594714,0.802861769665181
"Florida","FL",0.68223985194611,0.681033415426312,0.69098651671465,0.689729812006527,0.649263920404949,0.641673423967882,0.661730431109534,0.676911423983666,0.691036784902975,0.71295371501265,0.720343138696416,0.723359229995913,0.723861911879162,0.773727954697504,0.778201823458424,0.796851321326978,0.779760137296497,0.718382679351743,0.672588359787721,0.718583752105043,0.762317075947743,0.808513541018364,0.7773472642569,0.753218533860928,0.70797716436848,0.674297478190769
"Georgia","GA",0.470717890835243,0.50102289285409,0.517363825315234,0.523900198299691,0.522018515167802,0.533605721822067,0.524692485934171,0.549946654283211,0.600950170752841,0.613428700995896,0.633037819949268,0.617588211076914,0.660866923110367,0.450118412338771,0.493595196280843,0.534001865639307,0.545490036339263,0.493298088417914,0.532912470141898,0.548461114968562,0.633037819949268,0.67730689152582,0.691171925129215,0.680674113972359,0.645417314238013,0.650864291725061
